date,volume_m3,melt_on_glacier_monthly,liq_prcp_on_glacier_monthly,melt_off_glacier_monthly,liq_prcp_off_glacier_monthly,all_runoff_on_glacier,all_runoff_off_glacier,basin_runoff
1991-02,253568331.59624916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-03,253568331.59624916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-04,253568331.59624916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-05,253568331.59624916,192075820.2029189,15655626.966733813,190025668.62002861,43729939.32486498,207731447.1696527,16626531.185159247,224357978.35481194
1991-06,253568331.59624916,1115490459.8598921,179203694.5206259,440332800.5825499,63664266.765383676,1294694154.380518,35848222.12891975,1330542376.5094378
1991-07,253568331.59624916,3532590122.521491,109683882.095999,997672121.5735439,25292285.723654915,3642274004.61749,72761247.39323658,3715035252.0107265
1991-08,253568331.59624916,3806239802.4752674,407353939.41190076,1060770772.0639822,93932782.36855944,4213593741.887168,82131568.20568281,4295725310.092851
1991-09,253568331.59624916,2438033155.785413,95299654.4770357,691419708.3215865,21975390.042168282,2533332810.2624483,50742251.51030789,2584075061.772756
1991-10,253568331.59624916,43007588.82272563,0.0,90984515.64568529,2736736.175249168,43007588.82272563,6666190.085502801,49673778.908228435
1991-11,253568331.59624916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-12,253568331.59624916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-01,253503259.8131913,3.391153363650182e-07,0.0,8.082383300429517e-08,0.0,3.391153363650182e-07,5.74882455982324e-09,3.4486416092484143e-07
1992-02,253503259.8131913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992-03,253503259.8131913,2.1194708522813638e-08,0.0,5.051489562768448e-09,0.0,2.1194708522813638e-08,3.593015349889525e-10,2.155401005780259e-08
1992-04,253503259.8131913,0.0,0.0,38642136.443198346,0.0,0.0,2748531.6492833733,2748531.6492833733
1992-05,253503259.8131913,1014123808.4008889,64507272.54085725,430744925.431851,26329944.55161127,1078631080.9417462,32510747.641717304,1111141828.5834634
1992-06,253503259.8131913,2828729096.0220575,512187165.48793805,863233046.7521393,122228837.00872433,3340916261.5099955,70093773.94701219,3411010035.4570074
1992-07,253503259.8131913,3282404645.33691,269517895.5546723,810984826.5131297,64318009.40443954,3551922540.891582,62258398.95688248,3614180939.8484645
